OrderID,CustomerID,City,Restaurant,Meal,Quantity,OrderValue,PaymentMethod,DeliveryTime(mins),OrderStatus,CustomerName,CustomerGender,CustomerAge,CustomerEmail,LoyaltyTier,CustomerSegment,RestaurantRating,RestaurantBranch,Unit Price,UnitPrice,PackagingType,Delivery Fee,DeliveryFee,DeliveryPersonID,DeliveryPersonRating,DeliveryVehicleType,ReviewComment,RepeatOrder,RefundStatus,SpecialRequest,OrderTime,DayOfWeek,Month,Month2,Year
115,2484,Port Harcourt,Mr Biggs,Burger & Fries,1,"?12,134.73",Transfer,89,Delivered,Aisha Okoro,Female,26,aisha.okoro@outlook.com,Bronze,Family,3,Mall,"?21,570.00",$21.57,Bag,?382.00,$1.91,1056,4,Car,Excellent meal,Yes,None,No,5:51:30,Thursday,Aug,8,2023
126,7892,Abeokuta,Chopnownow,Burger & Fries,4,"?12,043.38",Transfer,80,Pending,Sarah Okoro,Male,44,sarah.okoro@outlook.com,Gold,Student,1,Main,"?17,170.00",$17.17,Reusable,?392.00,$1.96,1748,2,Car,Not satisfied,No,Partial,No,3:08:20,Tuesday,Jan,1,2023
207,3385,Lagos,Sweet Sensation,Burger & Fries,1,"?4,154.03",Wallet,38,Pending,Grace Bello,Female,21,grace.bello@yahoo.com,Gold,Student,2,Mall,"?11,590.00",$11.59,Box,"?1,300.00",$6.50,1432,3,Bike,Good service,Yes,Full,Yes,5:21:52,Thursday,May,5,2023
217,9815,Enugu,The Place,Burger & Fries,2,"?14,787.76",Wallet,46,Pending,Michael Ali,Male,29,michael.ali@gmail.com,Silver,Working Professional,2,Mall,"?22,140.00",$22.14,Box,"?1,288.00",$6.44,1881,2,Car,Average experience,No,Partial,Yes,4:41:54,Friday,May,5,2023
227,5499,Ibadan,Mr Biggs,Burger & Fries,3,"?4,057.67",Cash,59,Delivered,Grace Okoro,Female,32,grace.okoro@hotmail.com,Silver,Student,5,Airport,"?14,520.00",$14.52,Bag,?694.00,$3.47,1123,2,Bike,Not satisfied,Yes,None,No,13:58:20,Tuesday,May,5,2024
240,5433,Ibadan,Kilimanjoro,Burger & Fries,2,"?5,218.94",Cash,66,Delivered,Mary Johnson,Male,53,mary.johnson@outlook.com,Silver,Working Professional,4,Mall,"?13,210.00",$13.21,Reusable,?992.00,$4.96,1573,4,Bike,Not satisfied,Yes,Partial,No,13:40:46,Tuesday,Sep,9,2022
241,3869,Ibadan,Mr Biggs,Burger & Fries,4,"?5,024.53",Wallet,64,Delivered,Aisha Smith,Female,60,aisha.smith@yahoo.com,Silver,Student,5,Airport,"?19,510.00",$19.51,Eco-friendly,?374.00,$1.87,1223,2,Car,Good service,No,Full,Yes,21:12:31,Sunday,Aug,8,2023
242,1956,Lagos,Sweet Sensation,Burger & Fries,2,"?6,960.76",Cash,42,Delivered,Sophia George,Male,28,sophia.george@hotmail.com,Bronze,Student,2,Downtown,"?15,270.00",$15.27,Box,?438.00,$2.19,1231,2,Car,Late delivery,Yes,None,No,21:16:53,Monday,Jul,7,2023
251,5496,Uyo,Kilimanjaro,Burger & Fries,1,"?9,705.45",Wallet,79,Delivered,John Okoro,Female,41,john.okoro@hotmail.com,Silver,Family,2,Main,"?3,030.00",$3.03,Eco-friendly,"?1,106.00",$5.53,1414,1,Scooter,Late delivery,Yes,Partial,Yes,6:16:29,Thursday,Aug,8,2024
262,4354,Uyo,Chicken Republic,Burger & Fries,1,"?14,760.55",Transfer,49,Delivered,Sarah Ali,Male,60,sarah.ali@hotmail.com,Platinum,Business,2,Airport,"?19,670.00",$19.67,Box,?788.00,$3.94,1943,3,Bike,Late delivery,No,Full,Yes,19:45:36,Saturday,Apr,4,2023
264,5893,Port Harcourt,Kilimanjaro,Burger & Fries,2,"?11,367.04",Transfer,31,Delivered,Daniel Brown,Male,24,daniel.brown@yahoo.com,Platinum,Working Professional,2,Downtown,"?19,650.00",$19.65,Box,?796.00,$3.98,1716,4,Car,Not satisfied,Yes,None,No,11:49:03,Friday,Dec,12,2024
268,8683,Ibadan,Mr Biggs,Burger & Fries,3,"?3,794.14",Cash,64,Delivered,Sarah Smith,Male,60,sarah.smith@hotmail.com,Gold,Business,1,Airport,"?9,170.00",$9.17,Eco-friendly,"?1,300.00",$6.50,1200,5,Scooter,Excellent meal,No,Full,Yes,22:53:44,Sunday,Mar,3,2022
270,8679,Benin City,Coldstone,Burger & Fries,3,"?13,385.81",Wallet,73,Cancelled,Daniel Ali,Female,42,daniel.ali@hotmail.com,Gold,Student,3,Airport,"?3,000.00",$3.00,Bag,?232.00,$1.16,1112,2,Scooter,Excellent meal,Yes,None,Yes,14:18:12,Wednesday,Feb,2,2022
285,1980,Asaba,Chicken Republic,Burger & Fries,2,"?4,107.89",Wallet,69,Pending,Sarah Bello,Male,58,sarah.bello@outlook.com,Silver,Working Professional,5,Airport,"?22,910.00",$22.91,Bag,?414.00,$2.07,1179,3,Scooter,Late delivery,No,Partial,Yes,12:44:09,Monday,Oct,10,2024
307,1784,Port Harcourt,Kilimanjaro,Burger & Fries,4,"?14,239.28",Transfer,85,Delivered,Mary Bello,Female,53,mary.bello@yahoo.com,Platinum,Working Professional,2,Airport,"?14,080.00",$14.08,Bag,?822.00,$4.11,1399,2,Scooter,Average experience,Yes,Full,Yes,12:12:16,Saturday,Nov,11,2023
311,8206,Lagos,Kilimanjoro,Burger & Fries,4,"?4,895.67",Card,41,Delivered,David Adeyemi,Male,59,david.adeyemi@yahoo.com,Bronze,Business,3,Airport,"?6,350.00",$6.35,Bag,?468.00,$2.34,1763,5,Scooter,Not satisfied,Yes,Full,No,12:19:04,Monday,Nov,11,2024
318,9716,Uyo,Kilimanjaro,Burger & Fries,2,"?6,782.82",Cash,32,Delivered,Grace Adeyemi,Male,21,grace.adeyemi@yahoo.com,Bronze,Student,4,Downtown,"?9,230.00",$9.23,Box,?346.00,$1.73,1546,2,Scooter,Late delivery,Yes,None,No,8:59:29,Thursday,Dec,12,2023
324,3368,Uyo,Sweet Sensation,Burger & Fries,1,"?8,226.14",Card,67,Delivered,Sophia Okoro,Female,24,sophia.okoro@outlook.com,Platinum,Working Professional,1,Mall,"?10,750.00",$10.75,Reusable,?512.00,$2.56,1411,2,Car,Good service,No,Full,Yes,19:44:08,Monday,Oct,10,2023
334,1574,Asaba,Chicken Republic,Burger & Fries,3,"?12,653.80",Card,16,Delivered,Emmanuel Taylor,Female,20,emmanuel.taylor@gmail.com,Silver,Student,1,Downtown,"?22,570.00",$22.57,Box,"?1,310.00",$6.55,1706,1,Scooter,Late delivery,Yes,Partial,Yes,1:04:52,Saturday,Nov,11,2023
339,5777,Abeokuta,Chicken Republic,Burger & Fries,4,"?10,788.76",Wallet,82,Delivered,Mary Taylor,Female,21,mary.taylor@outlook.com,Bronze,Business,1,Mall,"?22,170.00",$22.17,Reusable,?608.00,$3.04,1196,1,Car,Excellent meal,Yes,None,No,22:31:10,Saturday,Mar,3,2022
340,4854,Benin City,Chopnownow,Burger & Fries,4,"?14,812.43",Wallet,82,Delivered,Sophia Okoro,Female,33,sophia.okoro@gmail.com,Platinum,Working Professional,5,Mall,"?5,760.00",$5.76,Box,?998.00,$4.99,1214,5,Scooter,Excellent meal,No,Full,No,13:58:03,Monday,Jun,6,2024
357,1635,Enugu,Coldstone,Burger & Fries,2,"?2,461.79",Card,21,Delivered,Daniel George,Female,52,daniel.george@gmail.com,Silver,Working Professional,5,Main,"?23,400.00",$23.40,Eco-friendly,?706.00,$3.53,1326,4,Bike,Good service,Yes,Partial,Yes,5:45:12,Tuesday,May,5,2023
362,6177,Ibadan,Sweet Sensation,Burger & Fries,4,"?13,541.86",Card,74,Delivered,Sophia Adeyemi,Female,59,sophia.adeyemi@gmail.com,Gold,Working Professional,1,Airport,"?12,810.00",$12.81,Eco-friendly,?438.00,$2.19,1496,4,Car,Average experience,Yes,Full,Yes,1:43:25,Wednesday,Sep,9,2022
371,2081,Asaba,Mr Biggs,Burger & Fries,2,"?6,073.83",Transfer,59,Delivered,Michael Bello,Male,35,michael.bello@outlook.com,Gold,Student,5,Airport,"?7,400.00",$7.40,Bag,?206.00,$1.03,1409,1,Bike,Not satisfied,No,None,Yes,6:15:20,Sunday,Jun,6,2024
375,1559,Asaba,Mr Biggs,Burger & Fries,4,"?7,740.80",Cash,37,Delivered,John Williams,Male,47,john.williams@outlook.com,Platinum,Student,5,Mall,"?12,530.00",$12.53,Bag,?642.00,$3.21,1518,4,Scooter,Excellent meal,Yes,None,Yes,16:48:51,Sunday,Mar,3,2023
384,5249,Abeokuta,Dominos Pizza,Burger & Fries,1,"?7,496.21",Transfer,75,Delivered,Michael Adeyemi,Male,46,michael.adeyemi@gmail.com,Bronze,Business,3,Mall,"?13,590.00",$13.59,Box,?386.00,$1.93,1676,4,Car,Not satisfied,Yes,None,Yes,11:54:32,Tuesday,Sep,9,2024
388,3744,Lagos,Kilimanjaro,Burger & Fries,4,"?10,416.76",Cash,67,Delivered,David Johnson,Male,51,david.johnson@gmail.com,Platinum,Student,3,Airport,"?11,500.00",$11.50,Reusable,"?1,132.00",$5.66,1112,1,Car,Late delivery,Yes,Partial,No,2:59:02,Friday,Sep,9,2023
402,5611,Ibadan,Kilimanjoro,Burger & Fries,3,"?8,763.89",Cash,24,Delivered,Sophia Bello,Female,26,sophia.bello@outlook.com,Gold,Student,1,Main,"?22,600.00",$22.60,Box,?770.00,$3.85,1401,5,Bike,Not satisfied,Yes,Partial,No,7:13:14,Sunday,Feb,2,2023
404,9527,Benin City,Chicken Republic,Burger & Fries,3,"?5,579.40",Cash,51,Delivered,David Williams,Female,52,david.williams@gmail.com,Silver,Working Professional,2,Airport,"?12,310.00",$12.31,Bag,?696.00,$3.48,1424,4,Scooter,Not satisfied,Yes,None,No,19:18:41,Tuesday,Dec,12,2024
407,1851,Abeokuta,Coldstone,Burger & Fries,3,"?8,258.22",Wallet,81,Delivered,Emmanuel George,Female,29,emmanuel.george@outlook.com,Silver,Business,4,Mall,"?19,290.00",$19.29,Eco-friendly,"?1,288.00",$6.44,1367,4,Bike,Average experience,Yes,Partial,No,6:04:13,Thursday,Feb,2,2024
408,2687,Abuja,The Place,Burger & Fries,1,"?5,907.30",Wallet,12,Delivered,Emmanuel Okoro,Female,40,emmanuel.okoro@outlook.com,Platinum,Family,5,Airport,"?19,140.00",$19.14,Box,"?1,066.00",$5.33,1850,1,Scooter,Excellent meal,Yes,Partial,Yes,17:03:08,Monday,Dec,12,2022
410,3427,Uyo,Chopnownow,Burger & Fries,2,"?7,343.39",Wallet,21,Delivered,Emmanuel George,Female,30,emmanuel.george@hotmail.com,Platinum,Business,3,Airport,"?6,050.00",$6.05,Box,"?1,096.00",$5.48,1586,2,Scooter,Late delivery,No,Partial,No,23:44:08,Saturday,Sep,9,2024
424,4373,Lagos,The Place,Burger & Fries,1,"?3,168.78",Transfer,50,Delivered,Daniel Brown,Female,39,daniel.brown@yahoo.com,Silver,Student,4,Main,"?13,960.00",$13.96,Bag,?422.00,$2.11,1920,5,Bike,Late delivery,Yes,Full,No,19:59:56,Thursday,Dec,12,2024
429,1417,Port Harcourt,Kilimanjaro,Burger & Fries,2,"?4,028.49",Transfer,26,Delivered,John Johnson,Female,46,john.johnson@gmail.com,Bronze,Student,1,Airport,"?20,810.00",$20.81,Reusable,"?1,316.00",$6.58,1725,1,Car,Late delivery,Yes,Full,Yes,0:25:50,Wednesday,Apr,4,2024
458,3914,Benin City,Sweet Sensation,Burger & Fries,4,"?5,195.98",Wallet,56,Delivered,Michael George,Female,39,michael.george@yahoo.com,Platinum,Family,4,Downtown,"?22,580.00",$22.58,Box,?658.00,$3.29,1872,5,Car,Late delivery,No,Full,No,13:49:30,Thursday,Aug,8,2023
461,9787,Lagos,Dominos Pizza,Burger & Fries,1,"?7,569.38",Cash,70,Delivered,Sarah Adeyemi,Male,38,sarah.adeyemi@yahoo.com,Platinum,Family,5,Mall,"?14,690.00",$14.69,Bag,?872.00,$4.36,1777,1,Bike,Excellent meal,No,Full,No,3:47:07,Sunday,Jun,6,2022
508,7313,Lagos,Dominos Pizza,Burger & Fries,4,"?5,138.51",Wallet,63,Delivered,Emmanuel Smith,Female,32,emmanuel.smith@yahoo.com,Platinum,Family,4,Airport,"?16,840.00",$16.84,Box,?932.00,$4.66,1874,4,Bike,Not satisfied,No,Partial,Yes,8:52:12,Friday,Jan,1,2024
511,2540,Asaba,Sweet Sensation,Burger & Fries,3,"?14,846.35",Transfer,74,Delivered,John Adeyemi,Female,56,john.adeyemi@gmail.com,Silver,Student,5,Main,"?20,330.00",$20.33,Bag,?730.00,$3.65,1153,2,Bike,Good service,No,Full,Yes,1:59:31,Friday,Jun,6,2024
512,7172,Abeokuta,Kilimanjoro,Burger & Fries,4,"?7,274.70",Cash,36,Delivered,Grace Taylor,Female,38,grace.taylor@outlook.com,Platinum,Working Professional,1,Main,"?15,770.00",$15.77,Box,"?1,100.00",$5.50,1512,3,Bike,Excellent meal,No,Full,Yes,1:23:43,Friday,Jan,1,2022
519,2324,Lagos,The Place,Burger & Fries,4,"?8,477.08",Wallet,61,Failed,David Smith,Male,48,david.smith@yahoo.com,Silver,Student,4,Main,"?3,410.00",$3.41,Box,?920.00,$4.60,1200,1,Bike,Average experience,Yes,Partial,No,9:41:30,Friday,Feb,2,2024
528,9905,Ibadan,Kilimanjoro,Burger & Fries,3,"?4,719.38",Cash,29,Delivered,Daniel Ali,Male,59,daniel.ali@hotmail.com,Bronze,Working Professional,2,Airport,"?16,400.00",$16.40,Box,?502.00,$2.51,1653,1,Scooter,Average experience,No,Full,No,6:58:22,Friday,Oct,10,2022
531,5748,Abeokuta,Kilimanjoro,Burger & Fries,2,"?11,086.59",Cash,65,Delivered,Sophia Ali,Male,37,sophia.ali@hotmail.com,Bronze,Business,4,Downtown,"?18,430.00",$18.43,Box,?424.00,$2.12,1544,4,Scooter,Average experience,Yes,Partial,Yes,0:57:46,Wednesday,Oct,10,2022
535,9647,Benin City,Kilimanjoro,Burger & Fries,1,"?8,264.16",Cash,69,Delivered,Daniel Taylor,Male,39,daniel.taylor@hotmail.com,Bronze,Business,5,Mall,"?12,850.00",$12.85,Bag,?606.00,$3.03,1299,2,Bike,Excellent meal,Yes,Full,No,14:39:13,Wednesday,Dec,12,2024
536,4072,Uyo,Dominos Pizza,Burger & Fries,1,"?3,078.15",Transfer,49,Delivered,Michael Okoro,Male,28,michael.okoro@outlook.com,Platinum,Student,4,Mall,"?14,360.00",$14.36,Eco-friendly,?568.00,$2.84,1860,3,Bike,Not satisfied,Yes,Full,Yes,4:45:46,Monday,Jun,6,2023
540,2531,Abeokuta,The Place,Burger & Fries,4,"?10,445.37",Transfer,75,Delivered,Grace Williams,Male,57,grace.williams@outlook.com,Gold,Business,5,Mall,"?7,710.00",$7.71,Bag,?240.00,$1.20,1456,2,Car,Excellent meal,Yes,Full,Yes,7:06:12,Saturday,Mar,3,2022
555,4376,Ibadan,Dominos Pizza,Burger & Fries,3,"?7,640.93",Cash,51,Delivered,Sophia Johnson,Male,31,sophia.johnson@hotmail.com,Bronze,Family,1,Mall,"?3,940.00",$3.94,Bag,"?1,232.00",$6.16,1970,2,Scooter,Late delivery,No,Partial,No,11:06:04,Thursday,Aug,8,2023
559,9053,Ibadan,Mr Biggs,Burger & Fries,1,"?3,482.03",Wallet,35,Delivered,John Ali,Female,36,john.ali@yahoo.com,Bronze,Student,5,Main,"?16,280.00",$16.28,Reusable,"?1,334.00",$6.67,1162,4,Scooter,Excellent meal,Yes,Partial,No,17:26:04,Tuesday,Mar,3,2023
569,1667,Port Harcourt,Kilimanjaro,Burger & Fries,1,"?5,295.94",Transfer,86,Delivered,Emmanuel Okoro,Female,36,emmanuel.okoro@gmail.com,Platinum,Business,2,Main,"?3,900.00",$3.90,Bag,"?1,264.00",$6.32,1786,2,Car,Not satisfied,No,Full,Yes,6:17:16,Saturday,Apr,4,2024
575,1539,Abuja,Chopnownow,Burger & Fries,3,"?4,891.34",Transfer,33,Delivered,John Brown,Female,60,john.brown@hotmail.com,Bronze,Family,3,Downtown,"?14,110.00",$14.11,Bag,"?1,068.00",$5.34,1823,4,Car,Not satisfied,Yes,Full,Yes,13:11:37,Monday,Jun,6,2024
596,3871,Abuja,Kilimanjaro,Burger & Fries,4,"?14,222.83",Cash,74,Delivered,Sophia Johnson,Male,31,sophia.johnson@hotmail.com,Gold,Family,5,Downtown,"?21,710.00",$21.71,Reusable,?756.00,$3.78,1427,3,Bike,Good service,Yes,Full,No,20:14:49,Saturday,Feb,2,2023
601,2015,Lagos,The Place,Burger & Fries,2,"?4,998.81",Wallet,55,Pending,Sophia Bello,Female,38,sophia.bello@yahoo.com,Gold,Working Professional,2,Mall,"?9,530.00",$9.53,Eco-friendly,?506.00,$2.53,1478,5,Bike,Excellent meal,No,Full,Yes,17:19:26,Thursday,Dec,12,2022
643,9580,Enugu,Coldstone,Burger & Fries,3,"?11,637.72",Card,76,Delivered,John Brown,Male,59,john.brown@outlook.com,Silver,Business,5,Airport,"?5,910.00",$5.91,Eco-friendly,?392.00,$1.96,1214,5,Car,Late delivery,Yes,None,Yes,2:06:03,Monday,Aug,8,2022
662,8648,Benin City,Mr Biggs,Burger & Fries,1,"?3,581.97",Transfer,66,Delivered,David Taylor,Male,18,david.taylor@outlook.com,Bronze,Working Professional,1,Mall,"?5,660.00",$5.66,Eco-friendly,?790.00,$3.95,1513,4,Car,Late delivery,Yes,Full,Yes,20:31:46,Tuesday,May,5,2022
670,8043,Lagos,Chopnownow,Burger & Fries,3,"?4,752.38",Card,66,Pending,Aisha Ali,Male,52,aisha.ali@gmail.com,Bronze,Business,3,Main,"?9,520.00",$9.52,Box,?742.00,$3.71,1156,3,Bike,Average experience,No,Partial,No,6:58:08,Friday,Dec,12,2022
688,8350,Port Harcourt,Sweet Sensation,Burger & Fries,1,"?8,483.36",Cash,24,Delivered,Aisha Adeyemi,Female,31,aisha.adeyemi@hotmail.com,Gold,Family,3,Airport,"?9,190.00",$9.19,Eco-friendly,"?1,028.00",$5.14,1581,5,Bike,Late delivery,Yes,Partial,Yes,7:41:33,Friday,Feb,2,2022
691,7031,Abuja,Mr Biggs,Burger & Fries,4,"?2,434.05",Card,88,Delivered,Sophia Johnson,Male,26,sophia.johnson@yahoo.com,Silver,Family,1,Downtown,"?12,200.00",$12.20,Box,?830.00,$4.15,1871,5,Car,Good service,No,Partial,Yes,20:21:29,Thursday,Dec,12,2023
716,7493,Enugu,Chicken Republic,Burger & Fries,3,"?12,476.60",Transfer,74,Delivered,John Okoro,Male,53,john.okoro@gmail.com,Platinum,Working Professional,5,Mall,"?6,380.00",$6.38,Reusable,?830.00,$4.15,1954,3,Scooter,Late delivery,Yes,None,Yes,12:03:54,Friday,Jan,1,2023
727,9150,Ibadan,Mr Biggs,Burger & Fries,3,"?10,745.74",Wallet,21,Failed,Mary Smith,Male,42,mary.smith@gmail.com,Silver,Business,2,Main,"?10,320.00",$10.32,Box,?616.00,$3.08,1349,1,Car,Not satisfied,Yes,Full,Yes,23:57:19,Saturday,Jan,1,2024
732,6126,Lagos,Kilimanjoro,Burger & Fries,3,"?10,800.54",Card,68,Pending,Sarah Okoro,Female,27,sarah.okoro@gmail.com,Platinum,Family,1,Main,"?17,190.00",$17.19,Reusable,?872.00,$4.36,1719,3,Scooter,Average experience,Yes,None,No,14:45:41,Friday,Oct,10,2022
735,1918,Abeokuta,Chopnownow,Burger & Fries,2,"?12,484.44",Cash,39,Cancelled,Grace Okoro,Male,26,grace.okoro@yahoo.com,Bronze,Working Professional,1,Mall,"?15,850.00",$15.85,Reusable,?258.00,$1.29,1175,5,Car,Good service,Yes,Full,Yes,13:13:55,Wednesday,Jun,6,2023
738,6870,Abuja,Chicken Republic,Burger & Fries,1,"?6,431.84",Wallet,18,Delivered,Aisha Bello,Female,34,aisha.bello@yahoo.com,Silver,Business,1,Airport,"?4,800.00",$4.80,Bag,"?1,366.00",$6.83,1087,4,Bike,Average experience,Yes,Partial,Yes,10:42:50,Wednesday,Dec,12,2022
741,4345,Ibadan,Kilimanjoro,Burger & Fries,1,"?14,119.48",Cash,37,Cancelled,John Williams,Female,36,john.williams@yahoo.com,Bronze,Student,5,Downtown,"?18,170.00",$18.17,Eco-friendly,?498.00,$2.49,1456,5,Bike,Good service,Yes,None,Yes,4:09:43,Saturday,May,5,2022
744,7882,Abuja,Mr Biggs,Burger & Fries,4,"?13,864.38",Transfer,10,Cancelled,Sophia Ali,Male,55,sophia.ali@yahoo.com,Platinum,Business,5,Airport,"?8,240.00",$8.24,Eco-friendly,?212.00,$1.06,1294,4,Scooter,Excellent meal,Yes,None,No,17:16:51,Wednesday,Jul,7,2024
745,2906,Lagos,Sweet Sensation,Burger & Fries,1,"?9,569.18",Wallet,39,Cancelled,Sarah Taylor,Female,40,sarah.taylor@yahoo.com,Platinum,Working Professional,4,Downtown,"?21,540.00",$21.54,Box,?644.00,$3.22,1597,1,Scooter,Excellent meal,No,Partial,Yes,8:23:31,Saturday,Jan,1,2022
747,9152,Enugu,Coldstone,Burger & Fries,1,"?3,062.76",Transfer,52,Delivered,John Okoro,Male,44,john.okoro@outlook.com,Bronze,Business,2,Downtown,"?18,510.00",$18.51,Box,?962.00,$4.81,1480,3,Bike,Average experience,No,Partial,Yes,11:52:13,Tuesday,Nov,11,2023
755,1125,Enugu,Sweet Sensation,Burger & Fries,2,"?7,363.97",Transfer,13,Delivered,Michael Okoro,Female,39,michael.okoro@hotmail.com,Silver,Business,5,Downtown,"?23,820.00",$23.82,Box,?222.00,$1.11,1777,4,Bike,Excellent meal,No,Partial,No,14:50:37,Wednesday,Sep,9,2023
774,2460,Abuja,Chopnownow,Burger & Fries,4,"?6,744.01",Transfer,81,Delivered,Michael Ali,Female,29,michael.ali@gmail.com,Gold,Student,2,Main,"?16,930.00",$16.93,Box,"?1,224.00",$6.12,1641,4,Bike,Excellent meal,Yes,None,No,11:58:25,Monday,Feb,2,2022
775,2733,Benin City,Dominos Pizza,Burger & Fries,1,"?6,969.18",Cash,74,Delivered,Michael George,Male,41,michael.george@gmail.com,Bronze,Working Professional,3,Airport,"?13,760.00",$13.76,Bag,?626.00,$3.13,1656,3,Car,Not satisfied,No,Partial,No,23:57:25,Wednesday,Dec,12,2024
783,3590,Ibadan,The Place,Burger & Fries,3,"?5,072.85",Cash,82,Delivered,Sarah Adeyemi,Male,29,sarah.adeyemi@hotmail.com,Bronze,Business,1,Main,"?24,300.00",$24.30,Box,?840.00,$4.20,1056,2,Scooter,Excellent meal,Yes,Full,No,19:37:59,Tuesday,Apr,4,2023
785,5324,Asaba,Kilimanjaro,Burger & Fries,1,"?7,496.85",Card,49,Delivered,Aisha Johnson,Female,46,aisha.johnson@yahoo.com,Platinum,Working Professional,3,Main,"?11,520.00",$11.52,Reusable,?946.00,$4.73,1836,2,Scooter,Good service,Yes,None,No,23:40:47,Wednesday,Aug,8,2023
799,7469,Uyo,Mr Biggs,Burger & Fries,2,"?8,023.11",Wallet,76,Delivered,John Brown,Female,58,john.brown@yahoo.com,Bronze,Family,5,Mall,"?6,060.00",$6.06,Box,"?1,010.00",$5.05,1045,5,Bike,Excellent meal,No,None,No,17:10:04,Tuesday,Sep,9,2024
801,1224,Port Harcourt,Mr Biggs,Burger & Fries,1,"?10,570.24",Cash,31,Delivered,Grace George,Female,22,grace.george@hotmail.com,Platinum,Business,5,Downtown,"?10,400.00",$10.40,Box,"?1,354.00",$6.77,1004,1,Scooter,Excellent meal,Yes,Full,Yes,6:53:35,Monday,Jun,6,2022
820,9512,Asaba,Coldstone,Burger & Fries,1,"?7,093.84",Cash,54,Delivered,Mary George,Male,51,mary.george@hotmail.com,Silver,Student,2,Mall,"?24,920.00",$24.92,Bag,"?1,320.00",$6.60,1621,3,Bike,Excellent meal,Yes,Partial,No,11:57:25,Wednesday,Mar,3,2024
